Bill #,St,Short Subject,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text,Unique ID
S 5043,US,American COMPETE Act of 2...,American COMPETE Act of 2020,Dec 17 2020,Introduced In Senate,Dec 17 2020,https://openstates.org/us/bills/116/S5043/,Deb Fischer,Kyrsten Sinema,https://www.govinfo.gov/content/pkg/BILLS-116s5043is/pdf/BILLS-116s5043is.pdf,3c3a2d077d5e04e40108e43ef2b67b0b6d153a93
HB 220,OH,Permit government to util...,Permit government to utilize distributed ledger tech/blockchain,Apr 24 2019,Refer To Committee,Dec 09 2020,https://openstates.org/oh/bills/133/HB220/,Rick Carfagna,"Gayle Manning, G.; Mary Lightbody; Kent Smith, K.; Brian Baldridge; Sara Carruthers; Jeffrey Crossman; Mark Fraizer; Tavia Galonski; Paula Hicks-Hudson; Stephanie Howse; Beth Liston; Riordan McClain; John Rogers; C. Russo; D. J. Swearingen; Bride Rose Sweeney; Thomas West",https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb220/IN/00?format=pdf,96f88b7ada1c1bb8669755669796bd238383ec51
HR 8693,US,21st Century Jobs Act,21st Century Jobs Act,Oct 27 2020,Referred To The Subcommittee On Highways And Transit.,Oct 28 2020,https://openstates.org/us/bills/116/HR8693/,Ro Khanna,James A. Himes; TIM RYAN; Pramila Jayapal; Suzan K. DelBene; BENNIE THOMPSON; Darren Soto; Dwight Evans; Nanette Diaz Barragan,https://www.govinfo.gov/content/pkg/BILLS-116hr8693ih/pdf/BILLS-116hr8693ih.pdf,9e917d747f57ed239865c803d28dc04024688703
HR 8524,US,Blockchain Records and Tr...,Blockchain Records and Transactions Act of 2020,Oct 02 2020,Introduced In House,Oct 02 2020,https://openstates.org/us/bills/116/HR8524/,David Schweikert,Darren Soto,https://www.govinfo.gov/content/pkg/BILLS-116hr8524ih/pdf/BILLS-116hr8524ih.pdf,c8f317182ac05647511a11f8175c29c783934742
HR 8132,US,American COMPETE Act,American COMPETE Act,Aug 28 2020,"Received In The Senate And Read Twice And Referred To The Committee On Commerce, Science, And Transportation.",Sep 30 2020,https://openstates.org/us/bills/116/HR8132/,Cathy McMorris Rodgers,"BOBBY L. RUSH; GREG WALDEN; Darren Soto; Richard Hudson; Robin L. Kelly; Robert E. Latta; Michael C. Burgess; FRED UPTON; Brett Guthrie; Larry Bucshon; Greg Gianforte; H. Morgan Griffith; Earl L. ""Buddy"" Carter",https://www.govinfo.gov/content/pkg/BILLS-116hr8132ih/pdf/BILLS-116hr8132ih.pdf,11b283e428640d8733a496ac8e0bde6dddc2214b
HR 8128,US,Consumer Safety Technolog...,Consumer Safety Technology Act,Aug 28 2020,"Received In The Senate And Read Twice And Referred To The Committee On Commerce, Science, And Transportation.",Sep 30 2020,https://openstates.org/us/bills/116/HR8128/,Jerry McNerney,Michael C. Burgess; Darren Soto; Brett Guthrie; Warren Davidson,https://www.govinfo.gov/content/pkg/BILLS-116hr8128ih/pdf/BILLS-116hr8128ih.pdf,5f4c3164a53f56d3fb31023dc65823c34560b118
HR 8378,US,Securities Clarity Act,Securities Clarity Act,Sep 24 2020,Introduced In House,Sep 24 2020,https://openstates.org/us/bills/116/HR8378/,Tom Emmer,K. Michael Conaway; Darren Soto; Ro Khanna,https://www.govinfo.gov/content/pkg/BILLS-116hr8378ih/pdf/BILLS-116hr8378ih.pdf,7820892a083eea617c95b4fbf7199fb2d577cb55
HR 8352,US,Jobs and Justice Act of 2...,Jobs and Justice Act of 2020,Sep 23 2020,Referred To The Subcommittee On Aviation.,Sep 24 2020,https://openstates.org/us/bills/116/HR8352/,Karen Bass,"ELEANOR HOLMES NORTON; MAXINE WATERS; SANFORD D. BISHOP; JAMES E. CLYBURN; ALCEE L. HASTINGS; EDDIE BERNICE JOHNSON; BOBBY L. RUSH; Robert C. ""Bobby"" Scott; BENNIE THOMPSON; SHEILA JACKSON LEE; DANNY K. DAVIS; GREGORY W. MEEKS; BARBARA LEE; WM. LACY CLAY; David Scott; G. K. Butterfield; Emanuel Cleaver; Al Green; Gwen Moore; Yvette D. Clarke; Henry C. ""Hank"" Johnson; Andre Carson; Marcia L. Fudge; Cedric L. Richmond; Terri A. Sewell; Frederica S. Wilson; Donald M. Payne; Joyce Beatty; Hakeem S. Jeffries; Marc A. Veasey; Robin L. Kelly; Alma S. Adams; Brenda L. Lawrence; Stacey E. Plaskett; Bonnie Watson Coleman; Dwight Evans; Lisa Blunt Rochester; Anthony G. Brown; Val Butler Demings; Al Lawson; A. Donald McEachin; Steven Horsford; Joe Neguse; Ilhan Omar; Ayanna Pressley; KWEISI MFUME",https://www.govinfo.gov/content/pkg/BILLS-116hr8352ih/pdf/BILLS-116hr8352ih.pdf,161038103780c29b662e3c3a33d620c4c7a013f0
HR 7592,US,STIFLE Act of 2020,STIFLE Act of 2020,Jul 13 2020,"Received In The Senate And Read Twice And Referred To The Committee On Banking, Housing, And Urban Affairs.",Sep 22 2020,https://openstates.org/us/bills/116/HR7592/,Ben McAdams,Anthony Gonzalez,https://www.govinfo.gov/content/pkg/BILLS-116hr7592ih/pdf/BILLS-116hr7592ih.pdf,4fdb546ea114d3c4db85dd87b5ad5ec3e2421ecd
S 4588,US,Small Business Broadband ...,Small Business Broadband and Emerging Information Technology Enhancement Act of 2020,Sep 16 2020,Introduced In Senate,Sep 16 2020,https://openstates.org/us/bills/116/S4588/,Jeanne Shaheen,John Neely Kennedy; Joni Ernst; Mazie K. Hirono; James E. Risch; EDWARD J. MARKEY,https://www.govinfo.gov/content/pkg/BILLS-116s4588is/pdf/BILLS-116s4588is.pdf,ca6cf8890b409c60a6d83bcd5d33887ce4d648cd
