Bill #,St,Short Subject,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text,Unique ID
SF 1682,MN,Omnibus Legacy appropriat...,Omnibus Legacy appropriations,Feb 16 2023,Comm Report: To Pass As Amended And Re-Refer To Finance,Apr 11 2023,https://openstates.org/mn/bills/2023-2024/SF1682/,Foung Hawj,Jennifer A. McEwen,https://www.revisor.mn.gov/bills/text.php?number=SF1682&version=1&session=ls93&session_year=2023&session_number=0,85509c6c4bf69719f56aca4b73faf4207c89ef50
HF 2336,MN,Minnesota Climate Innovat...,"Minnesota Climate Innovation Finance Authority established to provide financing and leverage private investment for clean energy and other projects, report required, and money appropriated.",Mar 01 2023,Author Added Feist,Apr 11 2023,https://openstates.org/mn/bills/2023-2024/HF2336/,Emma Greenman,Patty Acomb; Jamie Long; Zack Stephenson; Larry Kraft; Frank Hornstein; Kristi Pursell; Rick Hansen; Liz Reyer; Alicia Kozlowski; Esther Agbaje; Aisha Gomez; Amanda Hemmingsen-Jaeger; Samantha Sencer-Mura; Andy Smith; Mike Freiberg; Sandra Feist,https://www.revisor.mn.gov/bills/text.php?number=HF2336&version=2&session=ls93&session_year=2023&session_number=0,f555ad79037ae25954c2d53747a35fffbd140094
HB 2197,AZ,wills; electronic signatu...,wills; electronic signatures; requirements,Jan 17 2023,Signed By Governor,Apr 11 2023,https://openstates.org/az/bills/56th-1st-regular/HB2197/,Justin Wilmeth,,https://apps.azleg.gov/BillStatus/GetDocumentPdf/505046,59bc557b5b57a0ddf1d9c5f05af2dab56fa93644
HB 135,KY,AN ACT relating to autono...,AN ACT relating to autonomous vehicles.,Jan 06 2023,Vetoed,Apr 10 2023,https://openstates.org/ky/bills/2023RS/HB135/,Ken Upchurch,,https://apps.legislature.ky.gov/recorddocuments/bill/23RS/hb135/orig_bill.pdf,44c555d27a615f0ed8a8a9f805c87807dc282f57
SB 199,LA,CONSUMERS/PROTECTION: Pro...,"CONSUMERS/PROTECTION: Provides relative to the protection of data.
(2/3-CA7s2.1(A)) (8/1/23)",Mar 31 2023,"Introduced In The Senate; Read By Title.  Rules Suspended.  Read Second Time And Referred To The Committee On Commerce, Consumer Protection And International Affairs.",Apr 10 2023,https://openstates.org/la/bills/2023/SB199/,Glen Womack,Daryl Andrew Deshotel,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1310009,b7861682456159e94f6001eae2d685147f18073c
HB 165,NM,Uniform Unclaimed Propert...,Uniform Unclaimed Property Act,Jan 24 2023,Pocket Veto,Apr 10 2023,https://openstates.org/nm/bills/2023/HB165/,"Nibert, Greg",,http://www.nmlegis.gov/Sessions/23%20Regular/final/HB0165.PDF,0d39042053fd754e13ae174bc5a40fd5906e854c
SB 565,AR,To Amend Provisions Of Ar...,To Amend Provisions Of Arkansas Law Concerning The Uniform Classification And Compensation Act And To Declare An Emergency.,Mar 31 2023,Delivered To Governor.,Apr 07 2023,https://openstates.org/ar/bills/2023/SB565/,Jim Wooten,,https://www.arkleg.state.ar.us/assembly/2023/2023R/Bills/SB565.pdf,5b69a1c601c9c1a15435b2dfd5d40dabac19d1d7
HB 1799,AR,To Create The Arkansas Da...,To Create The Arkansas Data Centers Act Of 2023; And To Clarify The Regulation Of The Digital Asset Mining Business.,Mar 30 2023,Correctly Enrolled And Ordered Transmitted To The Governor's Office.,Apr 07 2023,https://openstates.org/ar/bills/2023/HB1799/,J. Bryant,,http://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FAMEND%2F2023R%2FPublic%2FHB1799-S1.pdf,6732b7de1e09b69973eebe57486df5bf5e37bb1f
HB 1140,AR,An Act For The Arkansas D...,An Act For The Arkansas Department Of Transportation Appropriation For The 2023-2024 Fiscal Year.,Jan 17 2023,Correctly Enrolled And Ordered Transmitted To The Governor's Office.,Apr 06 2023,https://openstates.org/ar/bills/2023/HB1140/,Joint Budget Committee,,http://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023R%2FPublic%2F&file=569.pdf&ddBienniumSession=2023%2F2023R,c7b2879515d49e00b80f15408a540ea4f51f5244
HB 1165,MO,Modifies and establishes ...,Modifies and establishes provisions relating to the Uniform Commercial Code,Feb 15 2023,Action Postponed (H),Apr 06 2023,https://openstates.org/mo/bills/2023/HB1165/,"Hicks, Justin",,http://www.house.mo.gov/billtracking/bills231/hlrbillspdf/2226H.02C.pdf,23e7ba2dec0ef0e4e491ac51b4b604e437382877
H 223,ID,HEALTH – Amends and repea...,HEALTH – Amends and repeals existing law to update terminology in the Medical Consent and Natural Death Act.,Feb 27 2023,"Reported Signed By Governor On April 5, 2023    Session Law Chapter 307    Effective: 07/01/2023",Apr 06 2023,https://openstates.org/id/bills/2023/H223/,HEALTH AND WELFARE COMMITTEE,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2023/legislation/H0223.pdf,57526fb4298d3a072d0b9220170477b2275281f9
SB 546,MT,Generally revise marijuan...,Generally revise marijuana law,Dec 03 2022,Missed Deadline For Revenue Bill Transmittal,Apr 06 2023,https://openstates.org/mt/bills/2023/SB546/,Keith Regier,,https://leg.mt.gov/bills/2023/billpdf/SB0546.pdf,074138c59ebd044ca3d5c1c5ffff9c5a14be9d60
SF 421,IA,A bill for an act relatin...,A bill for an act relating to money transmission services.,Feb 27 2023,"Committee Report Approving Bill, Renumbered As Sf 566.",Apr 06 2023,https://openstates.org/ia/bills/2023-2024/SF421/,COMMITTEE ON COMMERCE,,https://www.legis.iowa.gov/docs/publications/LGI/90/attachments/SF421.html,1b6c8f3a6de62c37a727b64742d41a4a31daec8c
SR 39,HI,Urging The Hawaii Emergen...,"Urging The Hawaii Emergency Management Agency To Include In All Live And Recorded Emergency Alert System Video Broadcasts, An On-Screen Interpreter Disseminating The Emergency Information In American Sign Language At All Times, Including During Graphic Presentations.",Mar 07 2023,"Report And Resolution Adopted, As Amended (Sd 1).",Apr 05 2023,https://openstates.org/hi/bills/2023 Regular Session/SR39/,Karl Rhoads,,https://capitol.hawaii.gov/sessions/session2023/bills/SR39_.HTM,e7338b2947a3993a3b42441c62b9b879486f0ff6
SB 580,NC,DOT Legislative Changes.-...,DOT Legislative Changes.-AB,Apr 04 2023,Passed 1st Reading,Apr 05 2023,https://openstates.org/nc/bills/2023/SB580/,Vickie Sawyer,Michael A. Lazzara; Hanig; Mike Woodard,https://www.ncleg.gov/Sessions/2023/Bills/Senate/PDF/S580v1.pdf,8fdf015160c5ea8575e4198e2dd5e79688df4335
SB 1435,AZ,attorney licensing; supre...,attorney licensing; supreme court,Feb 01 2023,Dpa,Apr 05 2023,https://openstates.org/az/bills/56th-1st-regular/SB1435/,Justine Wadsack,,https://apps.azleg.gov/BillStatus/GetDocumentPdf/508180,b6d6a81ec9bef5f28ef45bad6995ff4e5c65cdfc
HB 90,NM,Controllable Electronic R...,Controllable Electronic Records,Jan 13 2023,Signed,Apr 05 2023,https://openstates.org/nm/bills/2023/HB90/,Andrea Romero,,http://www.nmlegis.gov/Sessions/23%20Regular/final/HB0090.PDF,a8fc1870faedde62078c10de4d57f06d6f3bbabc
HB 1048,IN,Technical corrections.,Technical corrections.,Jan 09 2023,Signed By The Governor,Apr 05 2023,https://openstates.org/in/bills/2023/HB1048/,,,http://in-proxy.openstates.org/2023/bills/HB1048/versions/HB1048.04.ENRS,60f3ab090c042ad7b01b04349e64c962b0fbf654
HR 192,HI,Urging The Hawaii Emergen...,"Urging The Hawaii Emergency Management Agency To Include In All Live And Recorded Emergency Alert System Video Broadcasts, An On-Screen Interpreter Disseminating The Emergency Information In American Sign Language At All Times, Including During Graphic Presentations.",Mar 10 2023,"Reported From Fin (Stand. Com. Rep. No. 2033), Recommending Adoption.",Apr 05 2023,https://openstates.org/hi/bills/2023 Regular Session/HR192/,Gregg Takayama,,https://capitol.hawaii.gov/sessions/session2023/bills/HR192_.HTM,f52897a09b9b1953762b869f8614285282108da8
HB 637,MO,Creates provision for ele...,Creates provision for electrical choice and competition,Jan 04 2023,Referred: Utilities(H),Apr 04 2023,https://openstates.org/mo/bills/2023/HB637/,Don Mayhew,,http://www.house.mo.gov/billtracking/bills231/hlrbillspdf/1717H.01I.pdf,d28a2ccba577830d91f14681c8a19f9eef52a34d
HB 6236,RI,AN ACT RELATING TO COMMER...,AN ACT RELATING TO COMMERCIAL LAW -- GENERAL REGULATORY PROVISIONS -- RHODE ISLAND DATA TRANSPARENCY AND PRIVACY PROTECTION ACT (Provides data privacy protections for the personal identifiable information of Rhode Islanders.),Mar 30 2023,04/04/2023 Committee Recommended Measure Be Held For Further Study,Apr 04 2023,https://openstates.org/ri/bills/2023/HB6236/,Alex Marszalkowski,,http://webserver.rilegislature.gov/BillText/BillText23/HouseText23/H6236.pdf,a1f1f483b5b53fbb94d8a6c5b2495de8574bd4a9
HF 2754,MN,Energy; biennial budget e...,"Energy; biennial budget established for Department of Commerce, Public Utilities Commission, and energy, climate, and clean energy activities; energy, clean and renewable energy, energy storage, energy use and conservation, and utility regulation provisions established and modified; enhanced transportation electrification provided; Public Utilities Commission proceeding provisions added and modified; various clean and renewable energy grant programs established; technical changes made; reports required; and money appropriated.",Mar 09 2023,"Committee Report, To Adopt As Amended And Re-Refer To Ways And Means",Apr 04 2023,https://openstates.org/mn/bills/2023-2024/HF2754/,Patty Acomb,,https://www.revisor.mn.gov/bills/text.php?number=HF2754&version=1&session=ls93&session_year=2023&session_number=0,e0234b454e7c2ae4e7f1f90f3f5bc08b70ffab02
H 3749,SC,A Bill To Amend The South...,"A Bill To Amend The South Carolina Code Of Laws By Appropriating One Million Dollars To The Department Of Revenue To Be Used In The Administration Of The Privilege Tax; By Adding Chapter 23 To Title 52 Entitled ""Interactive Wagering"" So As To Provide That Certain Sports Wagering Is Lawful, To Provide Definitions, To Provide That A Licensee Is Subject To Certain Provisions, To Provide For A Certain Privilege Tax, To Provide That The Commission Shall Issue Certain Licenses, To Provide That The Commission Shall Issue Certain Supplier Licenses, To Provide For Who May Not Apply For Or Obtain A License, To Provide For Who May Or May Not Place Certain Bets, To Provide For The Use Of Official League Data, To Provide For Restrictions On Licensees, To Provide That A Licensee Shall Allow Bettors To Place Certain Restrictions On Themselves, To Provide That Certain Wagers Are Enforceable Contracts, To Provide That Each Licensee Shall Adopt Certain House Rules, To Provide For Certain Reports, To Provide For Certain Registration, To Provide The Equine And Sports Wagering Commission May Authorize And Regulate Interactive Sports Wagering, To Provide Related Requirements Concerning The Regulation Of Interactive Sports Wagering, To Provide For Certain Annual Reports, To Provide For Certain Regulations, To Provide That Certain Individuals May Inspect Books And Records At Certain Times, To Provide For Certain Investigations, To Provide For An Appellate Process, To Provide For Civil Penalties, To Provide That It Is Unlawful To Transmit Certain Information, To Create The ""South Carolina Equine And Sports Wagering Commission"", To Provide For Removal From The Council, To Provide For An Equine Subcommittee, To Establish A Grant Program To Assist The Growth And Development Of The Equine Industry In South Carolina; To Provide Definitions; To Provide Guidelines For Pari-Mutuel Wagering; To Provide Application Guidelines For Pari-Mutuel Wagering; To Provide For Application And License Fees; To Provide For The Equine Industry Development Fund; To Provide Guidelines And Protections For Committee Members; To Require The Subcommittee To Submit An Annual Report; And By Adding Section 16-19-135 So As To Provide That Certain Sports Wagering And Fantasy Sports Contests Are Not A Violation Of Certain Laws.",Jan 19 2023,Scrivener's Error Corrected,Apr 04 2023,https://openstates.org/sc/bills/2023-2024/H3749/,Deon T. Tedder,,https://www.scstatehouse.gov/sess125_2023-2024/bills/3749.htm,9f3f3b2f93a4777856ba402a0e652a9fabc525db
SF 2847,MN,"Omnibus Energy, Utilities...","Omnibus Energy, Utilities, Environment, and Climate appropriations",Mar 13 2023,Comm Report: To Pass As Amended And Re-Refer To Finance,Apr 04 2023,https://openstates.org/mn/bills/2023-2024/SF2847/,Nick A. Frentz,,https://www.revisor.mn.gov/bills/text.php?number=SF2847&version=1&session=ls93&session_year=2023&session_number=0,39a9096b4bb1d1d0937ca12d19b37415a878ff6f
SB 525,NC,Consumer Privacy Act.,Consumer Privacy Act.,Apr 03 2023,Passed 1st Reading,Apr 04 2023,https://openstates.org/nc/bills/2023/SB525/,Timothy D. Moffitt,Hanig; Mujtaba A. Mohammed; Joyce Waddell,https://www.ncleg.gov/Sessions/2023/Bills/Senate/PDF/S525v1.pdf,407c22b49d0cbaf25f500669c996bcae506847bc
SB 160,NM,Transfer Transportation F...,Transfer Transportation Functions From Prc,Jan 19 2023,Signed,Apr 04 2023,https://openstates.org/nm/bills/2023/SB160/,"Wirth, Peter",,http://www.nmlegis.gov/Sessions/23%20Regular/final/SB0160.PDF,e5114851112474aefe5d09c3830f42ef4186b28f
SB 51,KS,Authorizing the state ban...,Authorizing the state bank commissioner to accept state and national criminal history record checks from private entities.,Jan 18 2023,"Withdrawn From Calendar, Rereferred To Committee On Financial Institutions And Insurance",Apr 04 2023,https://openstates.org/ks/bills/2023-2024/SB51/,,,http://www.kslegislature.org/li/b2023_24/measures/documents/sb51_00_0000.pdf,9500d163cdd413bb190a806d3f38a00a6fe9471a
SB 569,MO,Modifies provisions relat...,"Modifies provisions relating to estate planning, including notice for transfers of the principal place of administration of a trust, electronic wills, and estate planning during the COVID-19 state of emergency",Jan 30 2023,Second Read And Referred S Judiciary And Civil And Criminal Jurisprudence Committee,Apr 03 2023,https://openstates.org/mo/bills/2023/SB569/,Trent,,https://senate.mo.gov/23info/pdf-bill/intro/SB569.pdf,b940cd63837884a154f459066b71e0424797cf7a
HB 18,MD,Maryland General and Limi...,Maryland General and Limited Power of Attorney Act - Alterations,Oct 27 2022,Returned Passed,Apr 03 2023,https://openstates.org/md/bills/2023/HB18/,Kaufman,,http://mgaleg.maryland.gov/2023RS/bills/hb/hb0018t.pdf,0b45031085c9bb693a290976e4a8e22bf336a293
HB 2316,OK,Revenue and taxation; sal...,Revenue and taxation; sales tax; definitions; occasional sales; effective date; emergency.,Feb 06 2023,Referred To Appropriations,Apr 03 2023,https://openstates.org/ok/bills/2023/HB2316/,Lonnie Paxton,,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24 COMMITTEE AMENDMENTS/House/HB2316 FULLPCS1 KYLE HILBERT-MAH.PDF,d676375f03cb9ee19827c2a6231c9be74beaee0f
S 1167,ID,WORKFORCE DEVELOPMENT COU...,WORKFORCE DEVELOPMENT COUNCIL – Amends and adds to existing law to establish provisions regarding the Idaho Launch Grant Program and the Idaho In-Demand Careers Fund.,Mar 13 2023,Signed By Governor On 04/04/23    Session Law Chapter 272    Effective: 07/01/2023;    07/01/2029 Sunset Clause - Section 2 & 3,Mar 31 2023,https://openstates.org/id/bills/2023/S1167/,STATE AFFAIRS COMMITTEE,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2023/legislation/S1167.pdf,6ee23ec3e53d63325b3cb2af6cb0ec7fd9e18e09
SB 155,NM,Use Of Telecomm Fund For ...,Use Of Telecomm Fund For Broadband,Jan 19 2023,Signed,Mar 30 2023,https://openstates.org/nm/bills/2023/SB155/,"Sanchez, Joseph",,http://www.nmlegis.gov/Sessions/23%20Regular/final/SB0155.PDF,9a334e9cd66df6a853f5699770dae2fa0cf72f5c
SB 180,NM,Election Changes,Election Changes,Jan 23 2023,Signed,Mar 30 2023,https://openstates.org/nm/bills/2023/SB180/,"Chasey, Gail",,http://www.nmlegis.gov/Sessions/23%20Regular/final/SB0180.PDF,f1b0780de4a00b8e1c02dca14e66fd67be319268
S 1059,ID,ADDRESS CONFIDENTIALITY F...,ADDRESS CONFIDENTIALITY FOR JUDICIAL OFFICERS – Amends and adds to existing law to provide address confidentiality for judicial officers.,Feb 09 2023,Signed By Governor On 03/29/23    Session Law Chapter 179    Effective: 07/01/2023,Mar 30 2023,https://openstates.org/id/bills/2023/S1059/,JUDICIARY AND RULES COMMITTEE,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2023/legislation/S1059.pdf,33ca5963ab7270e8666b096857c37986dfdb5fd5
SF 1622,MN,Minnesota State Competiti...,Minnesota State Competitiveness Fund establishment and appropriation,Feb 13 2023,"Rule 45-Amend, Subst. General Orders Hf1656",Mar 30 2023,https://openstates.org/mn/bills/2023-2024/SF1622/,Nick A. Frentz,Grant Hauschild; Judy Seeberger; Jason Rarick,https://www.revisor.mn.gov/bills/text.php?number=SF1622&version=2&session=ls93&session_year=2023&session_number=0,c551469e4ae6119fa8502828621c4991c4fdbf1f
LB 514,NE,Change provisions relatin...,Change provisions relating to elections,Jan 17 2023,"Cavanaugh, M. Mo613 Indefinitely Postpone Pursuant To Rule 6 Section 3(F) Filed",Mar 30 2023,https://openstates.org/ne/bills/108/LB514/,Tom Brewer,,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB514.pdf,a66ded60e16470149cd0cb9920723b8be5363238
HB 5784,RI,AN ACT RELATING TO AGRICU...,AN ACT RELATING TO AGRICULTURE AND FORESTRY -- FORESTRY AND FOREST PRODUCT OPERATIONS (Sales tax exemption for commercial forest product operations. Creates motor vehicle forestry plate registration.),Feb 22 2023,03/30/2023 Committee Recommended Measure Be Held For Further Study,Mar 30 2023,https://openstates.org/ri/bills/2023/HB5784/,Brian Patrick Kennedy,,http://webserver.rilegislature.gov/BillText/BillText23/HouseText23/H5784.pdf,64338913ab63fc8c24f8a0f6ee79eae6fc1f7070
SB 147,NM,Tax Changes,Tax Changes,Jan 19 2023,Signed,Mar 30 2023,https://openstates.org/nm/bills/2023/SB147/,Jason C. Harper,,http://www.nmlegis.gov/Sessions/23%20Regular/final/SB0147.PDF,7b9a119a8145bc6947047062c1d9cac5e24d65a1
LB 214,NE,Adopt changes to federal ...,"Adopt changes to federal law regarding banking and finance and change provisions relating to digital asset depositories, loan brokers, mortgage loan originators, and installment loans",Jan 10 2023,Hunt Mo378 Pursuant To Rule 6 Section 3 (F) Indefinitely Postpone Filed,Mar 30 2023,https://openstates.org/ne/bills/108/LB214/,Julie Slama,,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB214.pdf,62b69ccea9e246cd97ac4dc6a9b6e2199b15abde
HB 347,NC,Sports Wagering.,Sports Wagering.,Mar 13 2023,Regular Message Sent To Senate,Mar 30 2023,https://openstates.org/nc/bills/2023/HB347/,Zack Hawkins,"Ashton Wheeler Clemmons; Alexander; Amber M. Baker; John R. Bradford, III; Cecil Brockman; G. Brown; K. Brown; T. Brown; Becky Carney; Allen Chesser; Mike Clampitt; Cotham; Sarah Crawford; Kevin Crutchfield; Carla D. Cunningham; Allison A. Dahle; Terence Everitt; John Faircloth; Ken Fontenot; Karl E. Gillespie; Edward C. Goodwin; Dudley Greene; Kyle Hall; Jon Hardister; Wesley Harris, PhD; Chris Humphrey; F. Jackson; Jeffers; Joe John; Johnson; Ya Liu; Carolyn G. Logan; Jarrod Lowery; Marvin W. Lucas; Jeffrey C. McNeely; Charles W. Miller; Moss; Erin Paré; Ray Pickett; Pyrtle; Reeder; Robert T. Reives II; James Roberson; Ross; Carson Smith; Larry C. Strickland; Steve Tyson; Sam Watford; Shelly Willingham; David Willis; Matthew Winslow; Michael H. Wray",https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H347v3.pdf,949549d7a30149f1db3e2e6536af415f461fead7
HB 1588,AR,To Amend The Uniform Comm...,To Amend The Uniform Commercial Code.,Mar 09 2023,Withdrawn By Author,Mar 29 2023,https://openstates.org/ar/bills/2023/HB1588/,Jonathan Dismang,,https://www.arkleg.state.ar.us/assembly/2023/2023R/Bills/HB1588.pdf,381c6a81accda401ff9299cf15df5072c2c3900d
HB 49,KY,AN ACT relating to the Ke...,AN ACT relating to the Kentucky Public Pensions Authority.,Jan 03 2023,To State & Local Government (S),Mar 29 2023,https://openstates.org/ky/bills/2023RS/HB49/,James Tipton,,https://apps.legislature.ky.gov/recorddocuments/bill/23RS/hb49/orig_bill.pdf,012613d7783ce96d43aa570059d503b6c7006c17
SB 94,OH,Regards the Treasurer of ...,"Regards the Treasurer of State, recorded instruments, liens, etc.",Mar 23 2023,Refer To Committee,Mar 29 2023,https://openstates.org/oh/bills/135/SB94/,Al Landis,,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_135/bills/sb94/IN/00/sb94_00_IN?format=pdf,62c7d5271f18d356f810043f4704c9b078398642
H 24,ID,WORKFORCE DEVELOPMENT – A...,WORKFORCE DEVELOPMENT – Amends and adds to existing law to establish the Idaho Launch Grant Program and to revise provisions regarding the In-Demand Careers Fund.,Jan 24 2023,"Reported Signed By Governor On March 28, 2023    Session Law Chapter 174    Effective: 07/01/2023",Mar 29 2023,https://openstates.org/id/bills/2023/H24/,COMMERCE AND HUMAN RESOURCES COMMITTEE,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2023/legislation/H0024.pdf,cf3fe6de5b19951dfe66c68fa30e4b9da0c3432a
HB 3573,TX,Relating to modernizing t...,Relating to modernizing the regulation of money services businesses.,Mar 06 2023,Left Pending In Committee,Mar 29 2023,https://openstates.org/tx/bills/88/HB3573/,Trent Ashby,,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB03573I.HTM,ce302d9a92fce3cd5140fe322228d70294f035b4
HB 849,GA,Crimes and offenses; regu...,Crimes and offenses; regulation of bona fide coin operated amusement machines; change certain provisions,Mar 29 2023,House Hopper,Mar 29 2023,https://openstates.org/ga/bills/2023_24/HB849/,Jasmine Clark,,http://www.legis.ga.gov/Legislation/20232024/220407.pdf,34bfc5aaf39c52bef77ac980948cc1ee67654802
S 285,SC,A Bill To Amend The South...,"A Bill To Amend The South Carolina Code Of Laws By Adding Section 12-6-3791 So As To Allow An Income Tax Credit For Contributions To A Scholarship-Funding Organization That Provides Grants For Students To Attend Certain Independent And Home Schools, To Specify The Manner In Which The Credit Is Claimed, To Specify The Process By Which Certain Organizations And Schools Become Eligible, To Specify Certain Information Which Must Be Made Public, And To Allow The State Treasurer And Department Of Revenue To Enforce The Provisions Of The Credit; And To Repeal Section 12-6-3790 Relating To The Educational Credit For Exceptional Needs Children'S Fund.",Dec 07 2022,Referred To Committee On Ways And Means,Mar 28 2023,https://openstates.org/sc/bills/2023-2024/S285/,Penry Gustafson,,https://www.scstatehouse.gov/sess125_2023-2024/bills/285.htm,3a00d157d9b31ccc1897b739f5feb439c06406ca
SPB 2508,FL,State Cybersecurity Opera...,State Cybersecurity Operations,Mar 23 2023,Submitted As Committee Bill And Reported Favorably By Appropriations; Yeas 18 Nays 0,Mar 28 2023,https://openstates.org/fl/bills/2023/SPB2508/,Appropriations,,https://flsenate.gov/Session/Bill/2023/2508/BillText/pb/HTML,534c9127022d5ee7174d5e35cd6a5821776cf56b
HB 3366,OR,Relating to Oregon agricu...,Relating to Oregon agricultural heritage programs; declaring an emergency.,Feb 28 2023,Referred To Ways And Means By Prior Reference.,Mar 27 2023,https://openstates.org/or/bills/2023R1/HB3366/,Ken Helm,Janelle Bynum; Rick Lewis; John Lively; Virgle Osborne; Michael Dembrow; Jeff Golden; David Brock Smith; Janeen Sollman; Mark Gamba; Pam Marsh,https://olis.oregonlegislature.gov/liz/2023R1/Downloads/MeasureDocument/HB3366/Introduced,56edee81824b4fe035d8466549b70ef312b0e8d1
SB 32,FL,Florida Statutes,Florida Statutes,Feb 09 2023,Chapter No. 2023-8,Mar 27 2023,https://openstates.org/fl/bills/2023/SB32/,Debbie Mayfield,,https://flsenate.gov/Session/Bill/2023/32/BillText/er/HTML,df7aa2157582956e2c9a1913336fddaedb387e98
HB 1636,IL,Banking&Probate-Finance/N...,Banking&Probate-Finance/Notice,Feb 01 2023,Referred To Assignments,Mar 27 2023,https://openstates.org/il/bills/103rd/HB1636/,Meg Loughran Cappel,,https://ilga.gov/legislation/fulltext.asp?DocName=10300HB1636ham001&GA=103&SessionId=112&DocTypeId=HB&LegID=144273&DocNum=1636&GAID=17&SpecSess=&Session=&print=true,063a317935262dc8155be9d2b4e3b749ecedc495
SB 42,FL,Florida Statutes,Florida Statutes,Feb 09 2023,Chapter No. 2023-13,Mar 27 2023,https://openstates.org/fl/bills/2023/SB42/,Debbie Mayfield,,https://flsenate.gov/Session/Bill/2023/42/BillText/er/HTML,813e4660cbd4d0c925e2491ec3fec4578a280da3
SF 295,IA,A bill for an act concern...,"A bill for an act concerning the creation, administration, and termination of adult and minor guardianships and conservatorships.",Feb 15 2023,Subcommittee Recommends Amendment And Passage. Vote Total: 3-0.,Mar 27 2023,https://openstates.org/ia/bills/2023-2024/SF295/,COMMITTEE ON JUDICIARY,,https://www.legis.iowa.gov/docs/publications/LGI/90/attachments/SF295.html,22b8a618aea69f09138f9868c4175809f4ee02e5
SF 2301,MN,Minnesota Climate Innovat...,Minnesota Climate Innovation Finance establishment,Mar 01 2023,Comm Report: To Pass As Amended And Re-Refer To State And Local Government And Veterans,Mar 27 2023,https://openstates.org/mn/bills/2023-2024/SF2301/,Xiong,,https://www.revisor.mn.gov/bills/text.php?number=SF2301&version=2&session=ls93&session_year=2023&session_number=0,b69abaf737d0f7c7e5cd977b95e794d3caa8f72d
SB 2119,ND,AN ACT to create and enac...,"AN ACT to create and enact chapter 13-09.1 of the North Dakota Century Code, relating to money transmitters; to amend and reenact subsection 1 of section 6-01-01.1 of the North Dakota Century Code, relating to money transmitters; to repeal chapter 13-09 of the North Dakota Century Code, relating to money transmitters; and to provide a penalty.",Jan 03 2023,Filed With Secretary Of State 03/16,Mar 24 2023,https://openstates.org/nd/bills/68/SB2119/,,Industry And Business,https://www.ndlegis.gov/assembly/68-2023/regular/documents/23-8085-01000.pdf,485ef400c3a1b42f69cd3c8757b2d175479cbfc4
SB 155,KS,Substitute for SB 155 by ...,"Substitute for SB 155 by Committee on Ways and Means - Making and concerning appropriations for fiscal years 2023, 2024, 2025 and 2026 for various state agencies.",Feb 02 2023,Referred To Committee On Appropriations,Mar 24 2023,https://openstates.org/ks/bills/2023-2024/SB155/,,,http://www.kslegislature.org/li/b2023_24/measures/documents/sb155_00_0000.pdf,9a334e9cd66df6a853f5699770dae2fa0cf72f5c
SB 909,OR,Relating to limited liabi...,Relating to limited liability companies.,Feb 14 2023,Public Hearing Held.,Mar 23 2023,https://openstates.org/or/bills/2023R1/SB909/,,,https://olis.oregonlegislature.gov/liz/2023R1/Downloads/MeasureDocument/SB909/Introduced,104c61ab079744dadcdfd5329c4d802043ed1860
SB 23-100,CO,Uniform Community Propert...,Uniform Community Property Disposition At Death Act,Jan 31 2023,Governor Signed,Mar 23 2023,https://openstates.org/co/bills/2023A/SB23-100/,Marc Snyder,,https://leg.colorado.gov/sites/default/files/2023a_sb100_h_jud_001.pdf,a653a0cecc4fe8fe995a1eedcbef4e91c80c3550
HB 303,KY,AN ACT relating to econom...,AN ACT relating to economic development.,Feb 15 2023,Signed By Governor (Acts Ch. 75),Mar 23 2023,https://openstates.org/ky/bills/2023RS/HB303/,Josh Branscum,,https://apps.legislature.ky.gov/recorddocuments/bill/23RS/hb303/orig_bill.pdf,6d28739b822fd98153c4432b17ecfa13529c4b11
HB 58,UT,H.B. 58 Tax Modifications,H.B. 58 Tax Modifications,Dec 20 2022,Governor Signed,Mar 23 2023,https://openstates.org/ut/bills/2023/HB58/,"Spendlove, Robert M.",Chris H. Wilson,https://le.utah.gov/~2023/bills/hbillenr/HB0058.pdf,8e4b4aa66283674b7d8a590c670601ec27354940
