Bill #,State,St,Session,Short Subject,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text,Unique ID
HR 119,Michigan,MI,2021-2022 Regular Session,A resolution to declare O...,A resolution to declare October 2021 as Cryptocurrency Education Month in the state of Michigan.,Jun 02 2021,Adopted,Oct 13 2021,https://openstates.org/mi/bills/2021-2022/HR119/,Brad Paquette,Abraham Aiyash; Shri Thanedar,http://legislature.mi.gov/documents/2021-2022/resolutionadopted/House/htm/2021-HAR-0119.htm,7f077eae2cf9ee1262b99a39c5c8aa53730b9f90
HR 5496,United States,US,117th Congress,Clarity for Digital Token...,Clarity for Digital Tokens Act of 2021,Oct 05 2021,Introduced In House,Oct 05 2021,https://openstates.org/us/bills/117/HR5496/,Patrick McHenry,Warren Davidson; Ted Budd; Anthony Gonzalez,https://www.govinfo.gov/content/pkg/BILLS-117hr5496ih/pdf/BILLS-117hr5496ih.pdf,bc6c5073cc5df8a15634a5a24f5140102480fdaa
A 1178,New Jersey,NJ,2020-2021 Regular Session,Permits corporations to u...,Permits corporations to use blockchain technology for certain recordkeeping requirements.,Jan 14 2020,"Approved P.L.2021, C.238.",Sep 28 2021,https://openstates.org/nj/bills/219/A1178/,Nellie Pou,"Linda S. Carter; Gordon M. Johnson; Yvonne Lopez; Robert J. Karabinchak; P. Christopher Tully; O'Scanlon, Declan J.",http://www.njleg.state.nj.us/2020/Bills/A1500/1178_I1.HTM,4549fa5374451ded9f9b74f0b90ee6486eaa6238
HB 387,Ohio,OH,134th Legislature (2021-2022),Make changes to election ...,Make changes to election laws,Aug 12 2021,Refer To Committee,Sep 16 2021,https://openstates.org/oh/bills/134/HB387/,Bill Dean,Scott Wiggam; Diane V. Grendell; Reggie Stoltzfus; Jennifer Gross; Tom Brinkman; Ron Ferguson,https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_134/bills/hb387/IN/00/hb387_00_IN?format=pdf,2a48b370a99777469f19a9c8297b422a4113fe0a
HR 5101,United States,US,117th Congress,U.S. Virtual Currency Mar...,U.S. Virtual Currency Market and Regulatory Competitiveness Act of 2021,Aug 24 2021,"Referred To The Subcommittee On Commodity Exchanges, Energy, And Credit.",Sep 14 2021,https://openstates.org/us/bills/117/HR5101/,Darren Soto,Ted Budd; Ro Khanna; Warren Davidson; Tom Emmer,https://www.govinfo.gov/content/pkg/BILLS-117hr5101ih/pdf/BILLS-117hr5101ih.pdf,74f671e06c09daa8c1a776f5a7533d2793c3539f
HR 5088,United States,US,117th Congress,Stopping Terrorist Minera...,Stopping Terrorist Minerals Trade Act,Aug 24 2021,Introduced In House,Aug 24 2021,https://openstates.org/us/bills/117/HR5088/,Paul A. Gosar,Pete Stauber; Bruce Westerman; Fred Keller; Dan Newhouse,https://www.govinfo.gov/content/pkg/BILLS-117hr5088ih/pdf/BILLS-117hr5088ih.pdf,3904f23f6992afb90dfbb4a69a547f50c2bdde93
HD 3861,Massachusetts,MA,192nd Legislature (2021-2022),An Act establishing a rid...,An Act establishing a rideshare driver bill of rights,Aug 18 2021,Placed On File,Aug 18 2021,https://openstates.org/ma/bills/192nd/HD3861/,,Henry Matthews De Groot,https://malegislature.gov/Bills/192/HD3861.pdf,b431b28543edd34f25de4b5e5ec1a4c318fbb0be
HR 5045,United States,US,117th Congress,Blockchain Regulatory Cer...,Blockchain Regulatory Certainty Act,Aug 17 2021,Introduced In House,Aug 17 2021,https://openstates.org/us/bills/117/HR5045/,Tom Emmer,Darren Soto,https://www.govinfo.gov/content/pkg/BILLS-117hr5045ih/pdf/BILLS-117hr5045ih.pdf,d49376df89b725939393f0ff637d6cd6d2aefc63
HR 5037,United States,US,117th Congress,Safe and Certain Election...,Safe and Certain Elections Act,Aug 13 2021,Introduced In House,Aug 13 2021,https://openstates.org/us/bills/117/HR5037/,Beth Van Duyne,,https://www.govinfo.gov/content/pkg/BILLS-117hr5037ih/pdf/BILLS-117hr5037ih.pdf,d0e4c009119f9acc13fbb8ddb2cb776f592af14e
HR 121,Pennsylvania,PA,2021-2022 Regular Session,A Concurrent Resolution e...,A Concurrent Resolution establishing the Blockchain Working Group.,Jul 30 2021,Pn 1989 Referred To Commerce,Jul 30 2021,https://openstates.org/pa/bills/2021-2022/HR121/,Napoleon J. Nelson,Nick Pisciottano; Malcolm Kenyatta; Francis X. Ryan; R. Lee James; Benjamin V. Sanchez; Summer Lee; Steven R. Malagari; Tina M. Davis,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=R&billNbr=0121&pn=1989,b4c15f997b11fc18b8d8b9c37a2b780c0e5ec5e0
H 3973,Massachusetts,MA,192nd Legislature (2021-2022),An Act making appropriati...,An Act making appropriations for fiscal year 2021 to provide for supplementing certain existing appropriations and for certain other activities and projects,Jul 19 2021,"Signed By The Governor, Chapter 29 Of The Acts Of 2021",Jul 29 2021,https://openstates.org/ma/bills/192nd/H3973/,Supplemental budget,House Committee on Ways and Means,https://malegislature.gov/Bills/192/H3973.pdf,de2836eda0e1d011f870a068a5747e1d7994a183
S 2377,United States,US,117th Congress,Energy Infrastructure Act,Energy Infrastructure Act,Jul 19 2021,Introduced In Senate,Jul 19 2021,https://openstates.org/us/bills/117/S2377/,Joseph Manchin,,https://www.govinfo.gov/content/pkg/BILLS-117s2377rs/pdf/BILLS-117s2377rs.pdf,8c80bf1238335c7a876a585a5c3de51e3bda1f6c
HR 4461,United States,US,117th Congress,21st Century Jobs Act,21st Century Jobs Act,Jul 16 2021,Referred To The Subcommittee On Environment And Climate Change.,Jul 19 2021,https://openstates.org/us/bills/117/HR4461/,Ro Khanna,Suzan K. DelBene; Dwight Evans; Nanette Diaz Barragan; Tim Ryan,https://www.govinfo.gov/content/pkg/BILLS-117hr4461ih/pdf/BILLS-117hr4461ih.pdf,9204365212c433e82bce60572cbaccd7ef7b0cc8
HR 4451,United States,US,117th Congress,Securities Clarity Act,Securities Clarity Act,Jul 16 2021,Introduced In House,Jul 16 2021,https://openstates.org/us/bills/117/HR4451/,Tom Emmer,Darren Soto; Ro Khanna; Glenn Thompson,https://www.govinfo.gov/content/pkg/BILLS-117hr4451ih/pdf/BILLS-117hr4451ih.pdf,bec086c92fb34e9236c66d5125b175fe96d4d879
